Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 Ford Bronco Sport Big Bend,"$33,130 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo, 3 mi. 
2023 Toyota Highlander Hybrid XLE,"$52,593 ", All-wheel Drive ,Hybrid ,Automatic,2.5L I4 16V PDI DOHC Hybrid, 49 mi. 
2023 Volkswagen ID.4 Pro S,"$51,101 ", Rear-wheel Drive ,1-Speed Automatic,0.0L, 1V2VMPE87PC020481 ,"

Adaptive Cruise ControlHeated SeatsHeated Steering WheelNavigation SystemPower Liftgate

"
2022 Ford EcoSport SE,"$27,206 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC, 34 mi. 
2023 Nissan Leaf SV PLUS,"$38,440 ", Front-wheel Drive ,Automatic,Electric, 1N4CZ1CV2PC559418 ,"

Heated SeatsHeated Steering WheelNavigation System

"
2023 Mercedes-Benz S-Class S 580 4MATIC,"$142,315 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo, 5 mi. 
2022 Ford F-150 Raptor,"$83,640 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 59 mi. 
2023 Jeep Wrangler Rubicon,"$56,985 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 11 mi. 
2023 Toyota Camry Hybrid XSE,"$39,151 ", FWD ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid, 0 mi. 
2023 Dodge Charger Scat Pack,"$53,436 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,6.4L V8 16V MPFI OHV, 5 mi. 
2024 Lexus NX 350 350 F HANDLING,"$53,730 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.4L I4 DOHC 16V, – 
2023 Toyota 4Runner TRD Off Road,"$45,694 ", 4WD ,Gasoline ,Automatic,4.0L V6 24V MPFI DOHC, 1 mi. 
2023 Ford Transit-350 Base,"$58,205 ", Rear-wheel Drive ,Automatic,Electric Motor, 1FTBW9CK0PKA51408 ,"

Navigation System

"
2023 Ford Bronco Outer Banks,"$55,990 ", Four-wheel Drive ,Gasoline ,–,2.3L I4 16V GDI DOHC Turbo, 0 mi. 
2023 Jeep Wrangler Sport,"$32,922 ", Four-wheel Drive ,Gasoline ,Automatic,3.6L V6 24V MPFI DOHC, 6 mi. 
2023 Jeep Wrangler Sport,"$38,035 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, – 
2023 Honda CR-V Hybrid Sport,"$35,650 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid, 20 mi. 
2023 Chevrolet Silverado 1500 LTZ,"$63,135 ", Four-wheel Drive ,Gasoline ,Automatic,5.3L V8 16V GDI OHV, 0 mi. 
2023 Kia Sportage Hybrid SX-Prestige,"$42,005 ", All-wheel Drive ,Hybrid ,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid, 10 mi. 
2023 BMW X3 M40i,"$67,570 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo, 8 mi. 
2022 Ford F-150 XLT,"$46,675 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC, 12 mi. 
2023 Nissan Armada Platinum,"$67,999 ", Four-wheel Drive ,Gasoline ,Automatic,5.6L V8 32V GDI DOHC, 10 mi. 
2023 Chevrolet Traverse LS,"$36,915 ", All-wheel Drive ,Gasoline ,–,3.6L V6 24V GDI DOHC, 40 mi. 
2022 Lincoln Corsair Standard,"$43,325 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 7,334 mi. "
2023 Chevrolet Silverado 3500 LTZ,"$74,520 ", Four-wheel Drive ,Diesel ,Automatic,6.6L V8 32V DDI OHV Turbo Diesel, 10 mi. 
2022 Ford F-150 Lariat,"$67,235 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 20 mi. 
2023 Subaru Forester ,"$29,222 ", AWD ,– ,Automatic CVT,0.0L, 1 mi. 
2023 BMW M850 i xDrive,"$110,795 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo, 8 mi. 
2022 RAM 2500 Big Horn,"$60,700 ", Four-wheel Drive ,Diesel ,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel, 13 mi. 
2023 Toyota Tacoma SR,"$30,862 ", RWD ,Gasoline ,Automatic,2.7L I4 16V MPFI DOHC, 0 mi. 
2023 Hyundai IONIQ 5 SE,"$47,340 ", Rear-wheel Drive ,Automatic,Electric, KM8KM4AE4PU167023 ,"

Adaptive Cruise ControlHeated SeatsKeyless StartNavigation System

"
2023 Nissan Rogue S,"$30,153 ", All-wheel Drive ,Gasoline ,Automatic CVT,1.5L I3 12V GDI DOHC Turbo, 0 mi. 
2023 Jeep Wrangler Sport,"$39,481 ", Four-wheel Drive ,Gasoline ,Automatic,3.6L V6 24V MPFI DOHC, 1 mi. 
2024 BMW X5 xDrive40i,"$73,970 ", AWD ,Gasoline ,8-Speed Automatic,3.0L I6 24V DOHC, – 
2023 Volkswagen Tiguan 2.0T SE R-Line Black,"$34,977 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 0 mi. 
2023 Kia Sorento Hybrid EX,"$41,905 ", All-wheel Drive ,Hybrid ,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid, 12 mi. 
2023 Genesis G70 3.3T,"$57,570 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.3L V6 24V GDI DOHC Twin Turbo, 8 mi. 
2023 Toyota Camry LE,"$29,545 ", AWD ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC, – 
2023 Toyota Sequoia TRD Pro,"$80,729 ", Four-wheel Drive ,Hybrid ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid, 10 mi. 
2023 Kia Telluride LX,"$38,975 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC, 1 mi. 
